"bi-123",
"bi-folder2-open",
"bi-forward",
"bi-front",
"bi-fuel-pump",
"bi-funnel",
"bi-gear",
"bi-gem",
"bi-gender-ambiguous",
"bi-gender-female",
"bi-gender-male",
"bi-geo",
"bi-geo-alt",
"bi-gift",
"bi-globe",
"bi-graph-down",
"bi-graph-up",
"bi-grid",
"bi-hammer",
"bi-hand-index",
"bi-hand-thumbs-down",
"bi-hand-thumbs-up",
"bi-handbag",
"bi-headphones",
"bi-heart",
"bi-heart-pulse",
"bi-hospital",
"bi-hourglass",
"bi-house",
"bi-houses",
"bi-hurricane",
"bi-image",
"bi-images",
"bi-inbox",
"bi-incogneto",
"bi-infinity",
"bi-info-circle",
"bi-intersect",
"bi-joystick",
"bi-key",
"bi-keyboard",
"bi-lamp",
"bi-laptop",
"bi-layers",
"bi-life-preserver",
"bi-lightbulb",
"bi-lightning",
"bi-link",
"bi-list",
"bi-list-check",
"bi-lock",
"bi-lungs",
"bi-magic",
"bi-magnet",
"bi-mailbox",
"bi-map",
"bi-megaphone",
"bi-mic",
"bi-mic-mute",
"bi-minecart",
"bi-moisture",
"bi-moon",
"bi-moon-stars",
"bi-mortarboard",
"bi-mouse",
"bi-music-note",
"bi-newspaper",
"bi-nut",
"bi-option",
"bi-outlet",
"bi-p-circle",
"bi-paint-bucket",
"bi-palette",
"bi-paperclip",
"bi-pass",
"bi-pause-circle",
"bi-pc-display",
"bi-peace",
"bi-pen",
"bi-pencil",
"bi-people",
"bi-person",
"bi-person-add",
"bi-phone",
"bi-pie-chart",
"bi-piggy-bank",
"bi-pin",
"bi-pin-map",
"bi-play-circle",
"bi-plug",
"bi-postage",
"bi-postcard",
"bi-power",
"bi-prescription",
"bi-printer",
"bi-puzzle",
"bi-question-circle",
"bi-quote",
"bi-radioactive",
"bi-rainbow",
"bi-reception-4",
"bi-record-circle",
"bi-recycle",
"bi-repeat",
"bi-reply",
"bi-reply-all",
"bi-rewind",
"bi-robot",
"bi-rocket",
"bi-router",
"bi-rulers",
"bi-safe",
"bi-save",
"bi-scissors",
"bi-scooter",
"bi-screwdriver",
"bi-search",
"bi-send",
"bi-server",
"bi-share",
"bi-shield",
"bi-shift",
"bi-shop",
"bi-shuffle",
"bi-sign-stop",
"bi-signpost",
"bi-signpost-2",
"bi-sliders",
"bi-smartwatch",
"bi-snow",
"bi-speaker",
"bi-speedometer",
"bi-stack",
"bi-star",
"bi-stars",
"bi-stickies",
"bi-stop-circle",
"bi-stoplights",
"bi-stopwatch",
"bi-sun",
"bi-sunglasses",
"bi-sunrise",
"bi-sunset",
"bi-table",
"bi-tablet",
"bi-tag",
"bi-tags",
"bi-taxi-front",
"bi-telephone",
"bi-terminal",
"bi-thermometer",
"bi-ticket",
"bi-toggle-off",
"bi-toggle-on",
"bi-toggles",
"bi-tools",
"bi-tornado",
"bi-train-front",
"bi-translate",
"bi-trash",
"bi-tree",
"bi-trophy",
"bi-tropical-storm",
"bi-truck",
"bi-truck-front",
"bi-tsunami",
"bi-tv",
"bi-type",
"bi-umbrella",
"bi-unity",
"bi-universal-access",
"bi-unlock",
"bi-upload",
"bi-usb-drive",
"bi-voicemail",
"bi-volume-down",
"bi-volume-mute",
"bi-volume-up",
"bi-wallet",
"bi-watch",
"bi-water",
"bi-wifi",
"bi-wind",
"bi-wrench",
"bi-yin-yang",
"bi-zoom-in",
"bi-zoom-out",
